obs_id,object,event_file,pixel,t_exp_s,time_start,time_end,time_span,n_all,rate_all,n_both_pass,rate_both_pass,n_large_only,rate_large_only,n_small_only,rate_small_only,n_both_flag,rate_both_flag
000161000,MCG-6-30-15,small_large_xa000161000rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,0,122120.91511312127,160875584.06706735,161088315.15963468,212731.09256732464,12605,0.10321737262060246,12334,0.10099826052380093,270,0.0022109234912782755,1,8.188605523252872e-06,0,0.0
000161000,MCG-6-30-15,small_large_xa000161000rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,1,122120.91511312127,160875584.06706735,161088315.15963468,212731.09256732464,1001,0.008196794128776125,997,0.008164039706683114,4,3.275442209301149e-05,0,0.0,0,0.0
000161000,MCG-6-30-15,small_large_xa000161000rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,2,122120.91511312127,160875584.06706735,161088315.15963468,212731.09256732464,3772,0.030887420033709836,3635,0.029765581077024192,136,0.0011136503511623907,1,8.188605523252872e-06,0,0.0
000161000,MCG-6-30-15,small_large_xa000161000rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,3,122120.91511312127,160875584.06706735,161088315.15963468,212731.09256732464,581,0.004757579809009919,579,0.004741202597963413,1,8.188605523252872e-06,1,8.188605523252872e-06,0,0.0
000161000,MCG-6-30-15,small_large_xa000161000rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,4,122120.91511312127,160875584.06706735,161088315.15963468,212731.09256732464,1447,0.011848912192146906,1444,0.011824346375577147,2,1.6377211046505744e-05,1,8.188605523252872e-06,0,0.0
000161000,MCG-6-30-15,small_large_xa000161000rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,5,122120.91511312127,160875584.06706735,161088315.15963468,212731.09256732464,463,0.00379132435726608,291,0.002382884207266586,171,0.0014002515444762411,1,8.188605523252872e-06,0,0.0
000161000,MCG-6-30-15,small_large_xa000161000rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,6,122120.91511312127,160875584.06706735,161088315.15963468,212731.09256732464,566,0.004634750726161126,521,0.0042662634776147465,44,0.0003602986430231264,1,8.188605523252872e-06,0,0.0
000161000,MCG-6-30-15,small_large_xa000161000rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,7,122120.91511312127,160875584.06706735,161088315.15963468,212731.09256732464,2669,0.021855388141561915,2617,0.021429580654352767,47,0.00038486445959288497,5,4.094302761626436e-05,0,0.0
000161000,MCG-6-30-15,small_large_xa000161000rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,8,122120.91511312127,160875584.06706735,161088315.15963468,212731.09256732464,883,0.007230538677032286,798,0.006534507207555792,84,0.0006878428639532412,1,8.188605523252872e-06,0,0.0
000161000,MCG-6-30-15,small_large_xa000161000rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,9,122120.91511312127,160875584.06706735,161088315.15963468,212731.09256732464,1104,0.009040220497671171,888,0.00727148170464855,215,0.0017605501874993674,1,8.188605523252872e-06,0,0.0
000161000,MCG-6-30-15,small_large_xa000161000rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,10,122120.91511312127,160875584.06706735,161088315.15963468,212731.09256732464,3615,0.02960180896655913,3370,0.02759560061336218,245,0.0020062083531969537,0,0.0,0,0.0
000161000,MCG-6-30-15,small_large_xa000161000rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,11,122120.91511312127,160875584.06706735,161088315.15963468,212731.09256732464,891,0.007296047521218309,766,0.0062724718308117,125,0.001023575690406609,0,0.0,0,0.0
000161000,MCG-6-30-15,small_large_xa000161000rsl_p0px1000_uf_noBL_prevnext_cutclgti_clgti_stdcut.evt,13,122120.91511312127,160875584.06706735,161088315.15963468,212731.09256732464,1783,0.014600283647959872,1542,0.01262682971685593,241,0.0019734539311039422,0,0.0,0,0.0
